r1i1p1f1
r2i1p1f1
r3i1p1f1
r10i1p1f2
r1i1p1f2
r2i1p1f2
r3i1p1f2
r4i1p1f2
r5i1p1f2
r6i1p1f2
r7i1p1f2
r8i1p1f2
r9i1p1f2
r11i1p1f2
r12i1p1f2
r13i1p1f2
r14i1p1f2
r15i1p1f2
r16i1p1f2
r17i1p1f2
r18i1p1f2
r19i1p1f2
r20i1p1f2
r21i1p1f2
r22i1p1f2
r23i1p1f2
r24i1p1f2
r25i1p1f2
r26i1p1f2
r27i1p1f2
r28i1p1f2
r29i1p1f2
r30i1p1f2
r10i1p1f1
r11i1p1f1
r4i1p1f1
r5i1p1f1
r6i1p1f1
r7i1p1f1
r8i1p1f1
r9i1p1f1
r10i1p2f1
r12i1p1f1
r13i1p1f1
r14i1p1f1
r15i1p1f1
r16i1p1f1
r17i1p1f1
r18i1p1f1
r19i1p1f1
r1i1p2f1
r20i1p1f1
r2i1p2f1
r3i1p2f1
r4i1p2f1
r5i1p2f1
r6i1p2f1
r7i1p2f1
r8i1p2f1
r9i1p2f1
r23i1p2f1
r21i1p2f1
r13i1p2f1
r14i1p2f1
r11i1p2f1
r15i1p2f1
r24i1p2f1
r20i1p2f1
r16i1p2f1
r19i1p2f1
r18i1p2f1
r17i1p2f1
r25i1p2f1
r22i1p2f1
r12i1p2f1
r21i1p1f1
r22i1p1f1
r24i1p1f1
r25i1p1f1
r23i1p1f1
r105i1p1f1
r103i1p1f1
r102i1p1f1
r106i1p1f1
r109i1p1f1
r101i1p1f1
r110i1p1f1
r104i1p1f1
r107i1p1f1
r108i1p1f1
r113i1p1f1
r111i1p1f1
r116i1p1f1
r115i1p1f1
r120i1p1f1
r118i1p1f1
r117i1p1f1
r119i1p1f1
r112i1p1f1
r114i1p1f1
r125i1p1f1
r127i1p1f1
r121i1p1f1
r122i1p1f1
r130i1p1f1
r123i1p1f1
r126i1p1f1
r124i1p1f1
r129i1p1f1
r128i1p1f1
r134i1p1f1
r131i1p1f1
r139i1p1f1
r135i1p1f1
r136i1p1f1
r140i1p1f1
r137i1p1f1
r133i1p1f1
r132i1p1f1
r138i1p1f1
r142i1p1f1
r150i1p1f1
r148i1p1f1
r141i1p1f1
r145i1p1f1
r149i1p1f1
r146i1p1f1
r147i1p1f1
r144i1p1f1
r143i1p1f1
r1i1p1f3
r2i1p1f3
r3i1p1f3
r4i1p1f3
r5i1p1f3
r26i1p1f1
r27i1p1f1
r28i1p1f1
r29i1p1f1
r30i1p1f1
r31i1p1f1
r32i1p1f1
r33i1p1f1
r1i2p1f1
r1i1000p1f1
r7i1p1f3
r6i1p1f3
r41i1p1f1
r49i1p1f1
r48i1p1f1
r39i1p1f1
r36i1p1f1
r37i1p1f1
r35i1p1f1
r43i1p1f1
r50i1p1f1
r40i1p1f1
r38i1p1f1
r44i1p1f1
r34i1p1f1
r45i1p1f1
r47i1p1f1
r46i1p1f1
r42i1p1f1
r1i1000p1f2
